,product,year,country,total_production,quantity,per_production,amount
229,Espumante,2025,Guiné-Bissau,7461665,13774.429662554652,0.1846,13774.429662554652
230,Espumante,2025,Haiti,7461665,13939.481497320434,0.18681,13939.481497320434
231,Espumante,2025,Honduras,7461665,12755.289264617866,0.17094,12755.289264617866
232,Espumante,2025,Hong Kong,7461665,12731.108177841346,0.17062,12731.108177841346
233,Espumante,2025,Hungria,7461665,12618.589774200289,0.16911,12618.589774200289
234,Espumante,2025,Ilha de Man,7461665,12623.224855938313,0.16917,12623.224855938313
235,Espumante,2025,Iraque,7461665,12634.269855291917,0.16932,12634.269855291917
236,Espumante,2025,Irlanda,7461665,12647.39099319784,0.1695,12647.39099319784
237,Espumante,2025,Islândia,7461665,13773.842975043419,0.18459,13773.842975043419
238,Espumante,2025,Itália,7461665,12677.833516466999,0.16991,12677.833516466999
239,Espumante,2025,Japão,7461665,26443.99264538096,0.3544,26443.99264538096
240,Espumante,2025,Jordânia,7461665,12719.377228482635,0.17046,12719.377228482635
241,Espumante,2025,Letônia,7461665,12702.449145412867,0.17024,12702.449145412867
242,Espumante,2025,Libéria,7461665,12640.199432028332,0.1694,12640.199432028332
243,Espumante,2025,Luxemburgo,7461665,12672.240686366162,0.16983,12672.240686366162
244,Espumante,2025,Líbano,7461665,12644.690442086576,0.16946,12644.690442086576
245,Espumante,2025,Maldivas,7461665,13774.871246688957,0.18461,13774.871246688957
246,Espumante,2025,Malta,7461665,12627.443325059186,0.16923,12627.443325059186
247,Espumante,2025,Marrocos,7461665,13774.662426636258,0.18461,13774.662426636258
248,Espumante,2025,"Marshall, Ilhas",7461665,12663.5083667152,0.16971,12663.5083667152
249,Espumante,2025,Montenegro,7461665,12631.4059761783,0.16928,12631.4059761783
250,Espumante,2025,México,7461665,12757.372888720454,0.17097,12757.372888720454
251,Espumante,2025,Nicarágua,7461665,12725.248295256279,0.17054,12725.248295256279
252,Espumante,2025,Nigéria,7461665,12694.762005831526,0.17013,12694.762005831526
253,Espumante,2025,Noruega,7461665,12695.015439080807,0.17014,12695.015439080807
254,Espumante,2025,Nova Zelândia,7461665,12661.09334180554,0.16968,12661.09334180554
255,Espumante,2025,Panamá,7461665,12642.213367897246,0.16943,12642.213367897246
256,Espumante,2025,Países Baixos (Holanda),7461665,13774.628150619426,0.18461,13774.628150619426
